Video Name,MOS,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17
CSGO_30fps_30sec_v2_1280x720_1200_x264,3.24,3,3,3,3,3,4,3,3,4,3,3,4,2,2,2,5,5
CSGO_30fps_30sec_v2_1280x720_2000_x264,4,3,3,5,4,4,5,4,3,4,3,4,5,4,4,3,5,5
CSGO_30fps_30sec_v2_1280x720_4000_x264,4.59,4,5,5,5,5,5,5,4,4,4,4,5,4,5,4,5,5
CSGO_30fps_30sec_v2_1280x720_500_x264,2.12,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CSGO_30fps_30sec_v2_1280x720_600_x264,2.29,3,3,2,2,3,3,3,1,2,2,2,2,2,2,2,2,3
CSGO_30fps_30sec_v2_1920x1080_1200_x264,2.76,3,3,2,2,2,3,3,2,3,3,3,3,2,4,2,3,4
CSGO_30fps_30sec_v2_1920x1080_2000_x264,3.24,3,3,3,3,3,4,3,3,3,3,4,4,3,1,3,4,5
CSGO_30fps_30sec_v2_1920x1080_4000_x264,4.59,4,5,5,4,5,5,5,4,4,4,5,4,5,5,5,4,5
CSGO_30fps_30sec_v2_1920x1080_600_x264,1.29,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1
CSGO_30fps_30sec_v2_1920x1080_750_x264,1.88,2,2,1,1,2,2,2,1,2,3,2,2,2,2,2,2,2
CSGO_30fps_30sec_v2_640x480_1200_x264,3.53,3,3,5,3,4,5,5,3,3,3,4,4,3,3,2,3,4
CSGO_30fps_30sec_v2_640x480_2000_x264,3.59,3,3,4,3,4,5,4,3,3,3,5,4,2,4,3,5,3
CSGO_30fps_30sec_v2_640x480_300_x264,1.94,3,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
CSGO_30fps_30sec_v2_640x480_4000_x264,3.76,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,5,4
CSGO_30fps_30sec_v2_640x480_600_x264,2.65,3,2,3,2,3,2,3,2,3,3,3,3,3,2,2,4,2
FIFA17_30fps_30sec_v2_1280x720_1200_x264,3.65,3,4,3,3,5,5,5,3,4,3,3,3,4,3,4,4,3
FIFA17_30fps_30sec_v2_1280x720_2000_x264,4.06,4,4,4,4,4,4,5,3,5,3,4,5,5,3,4,4,4
FIFA17_30fps_30sec_v2_1280x720_4000_x264,4.35,4,5,5,4,5,5,5,3,5,3,4,5,5,5,3,4,4
FIFA17_30fps_30sec_v2_1280x720_500_x264,2,3,3,2,2,2,2,1,1,3,1,3,2,1,1,2,3,2
FIFA17_30fps_30sec_v2_1280x720_600_x264,2.59,2,3,2,2,3,3,3,3,3,2,3,2,3,2,3,2,3
FIFA17_30fps_30sec_v2_1920x1080_1200_x264,2.94,3,3,3,3,4,3,3,3,3,2,3,4,3,2,2,3,3
FIFA17_30fps_30sec_v2_1920x1080_2000_x264,4.12,4,4,4,4,5,5,5,3,4,3,4,4,5,3,4,4,5
FIFA17_30fps_30sec_v2_1920x1080_4000_x264,4.18,4,4,5,4,4,5,5,3,5,3,3,5,4,4,4,4,5
FIFA17_30fps_30sec_v2_1920x1080_600_x264,1.65,2,2,1,1,2,2,2,1,2,1,2,1,2,1,2,2,2
FIFA17_30fps_30sec_v2_1920x1080_750_x264,2.06,2,3,2,2,3,3,2,2,2,2,2,2,1,1,1,2,3
FIFA17_30fps_30sec_v2_640x480_1200_x264,3.18,3,3,3,3,3,4,4,3,3,2,3,4,3,5,2,3,3
FIFA17_30fps_30sec_v2_640x480_2000_x264,3.12,3,3,4,3,4,3,4,2,4,3,3,4,3,3,3,3,1
FIFA17_30fps_30sec_v2_640x480_300_x264,1.59,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2
FIFA17_30fps_30sec_v2_640x480_4000_x264,3.71,4,3,4,4,5,4,4,3,4,3,4,4,4,3,3,4,3
FIFA17_30fps_30sec_v2_640x480_600_x264,2.59,3,3,3,2,3,3,3,2,3,2,2,4,2,2,2,2,3
H1Z1_30fps_30sec_v2_1280x720_1200_x264,2.88,3,3,3,2,2,3,3,3,4,3,3,3,2,3,3,3,3
H1Z1_30fps_30sec_v2_1280x720_2000_x264,3.18,3,3,3,3,4,4,3,3,4,3,3,3,3,3,2,3,4
H1Z1_30fps_30sec_v2_1280x720_4000_x264,3.65,4,3,3,3,4,5,3,3,4,4,4,4,3,4,3,3,5
H1Z1_30fps_30sec_v2_1280x720_500_x264,1.53,2,1,1,1,1,2,2,1,2,1,2,2,2,1,2,1,2
H1Z1_30fps_30sec_v2_1280x720_600_x264,1.76,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2
H1Z1_30fps_30sec_v2_1920x1080_1200_x264,1.88,2,1,1,1,2,2,2,2,3,1,2,2,2,1,2,2,4
H1Z1_30fps_30sec_v2_1920x1080_2000_x264,3.06,3,3,2,2,3,3,3,2,3,3,2,3,4,5,3,3,5
H1Z1_30fps_30sec_v2_1920x1080_4000_x264,3.76,4,4,4,4,4,5,4,4,4,3,2,3,5,2,4,3,5
H1Z1_30fps_30sec_v2_1920x1080_600_x264,1.24,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1
H1Z1_30fps_30sec_v2_1920x1080_750_x264,1.53,2,1,2,1,2,3,1,1,2,2,2,1,1,1,1,2,1
H1Z1_30fps_30sec_v2_640x480_1200_x264,2.94,3,3,3,2,3,4,3,3,3,2,2,3,5,2,3,3,3
H1Z1_30fps_30sec_v2_640x480_2000_x264,3,3,2,3,3,3,4,3,1,3,2,4,4,3,3,3,3,4
H1Z1_30fps_30sec_v2_640x480_300_x264,1.65,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2
H1Z1_30fps_30sec_v2_640x480_4000_x264,3.29,3,3,3,3,4,4,4,2,4,3,4,2,4,3,3,3,4
H1Z1_30fps_30sec_v2_640x480_600_x264,2.59,3,3,2,3,3,3,2,2,3,2,3,2,3,2,3,3,2
Hearthstone_30fps_30sec_v2_1280x720_1200_x264,4.18,3,4,5,4,5,5,5,3,5,3,4,4,4,4,4,5,4
Hearthstone_30fps_30sec_v2_1280x720_2000_x264,4.18,4,4,4,4,5,5,5,4,5,4,5,5,3,2,3,5,4
Hearthstone_30fps_30sec_v2_1280x720_4000_x264,4.35,4,4,4,4,5,5,5,4,5,5,5,5,4,3,3,5,4
Hearthstone_30fps_30sec_v2_1280x720_500_x264,3.35,3,3,3,2,4,4,4,3,5,4,4,4,3,3,3,3,2
Hearthstone_30fps_30sec_v2_1280x720_600_x264,3.53,3,3,3,3,5,4,5,3,5,4,3,4,3,2,3,4,3
Hearthstone_30fps_30sec_v2_1920x1080_1200_x264,4.53,4,4,5,4,5,5,5,4,5,4,4,4,5,4,5,5,5
Hearthstone_30fps_30sec_v2_1920x1080_2000_x264,4.76,4,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5
Hearthstone_30fps_30sec_v2_1920x1080_4000_x264,4.59,4,5,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5
Hearthstone_30fps_30sec_v2_1920x1080_600_x264,3.29,3,3,3,3,4,3,5,3,4,3,5,2,3,3,3,3,3
Hearthstone_30fps_30sec_v2_1920x1080_750_x264,3.59,4,4,4,3,4,4,4,3,5,4,4,4,2,2,3,4,3
Hearthstone_30fps_30sec_v2_640x480_1200_x264,3.24,3,4,3,3,4,3,5,3,4,3,5,2,2,2,2,4,3
Hearthstone_30fps_30sec_v2_640x480_2000_x264,3.59,3,3,4,3,4,4,5,3,5,3,4,3,3,3,3,5,3
Hearthstone_30fps_30sec_v2_640x480_300_x264,2.29,2,3,2,2,3,3,4,2,3,3,2,1,2,1,2,2,2
Hearthstone_30fps_30sec_v2_640x480_4000_x264,3.47,3,4,3,3,4,4,5,3,4,3,3,2,4,3,3,5,3
Hearthstone_30fps_30sec_v2_640x480_600_x264,3.24,3,3,3,3,4,4,4,3,5,4,3,3,2,3,2,4,2
LoL_30fps_30sec_v2_1280x720_1200_x264,3.24,3,3,3,3,4,4,3,3,4,3,4,3,3,3,3,3,3
LoL_30fps_30sec_v2_1280x720_2000_x264,3.71,4,4,4,3,5,5,4,3,4,4,3,3,3,3,3,5,3
LoL_30fps_30sec_v2_1280x720_4000_x264,4.29,4,4,3,4,5,5,5,3,5,5,4,5,5,4,4,4,4
LoL_30fps_30sec_v2_1280x720_500_x264,1.88,2,1,1,1,2,3,2,2,3,1,2,2,3,2,2,1,2
LoL_30fps_30sec_v2_1280x720_600_x264,2.41,2,2,1,2,2,3,3,2,3,3,3,2,3,3,3,2,2
LoL_30fps_30sec_v2_1920x1080_1200_x264,2.82,3,2,2,2,3,3,3,2,3,3,3,3,3,2,3,3,5
LoL_30fps_30sec_v2_1920x1080_2000_x264,4.24,4,4,4,4,5,5,4,3,4,4,4,5,5,5,5,4,3
LoL_30fps_30sec_v2_1920x1080_4000_x264,4.53,4,4,5,5,4,5,5,4,5,4,4,5,5,4,4,5,5
LoL_30fps_30sec_v2_1920x1080_600_x264,1.29,1,2,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1
LoL_30fps_30sec_v2_1920x1080_750_x264,1.88,2,2,1,2,2,2,2,1,3,2,2,2,1,1,2,1,4
LoL_30fps_30sec_v2_640x480_1200_x264,3.06,3,4,3,3,4,4,3,3,3,3,3,3,2,3,3,3,2
LoL_30fps_30sec_v2_640x480_2000_x264,3.18,3,3,3,3,4,3,4,3,4,3,4,3,2,3,3,4,2
LoL_30fps_30sec_v2_640x480_300_x264,1.82,2,1,1,1,1,1,2,1,2,2,3,2,2,5,2,1,2
LoL_30fps_30sec_v2_640x480_4000_x264,3.47,3,3,4,2,5,4,5,3,4,3,3,4,3,2,3,5,3
LoL_30fps_30sec_v2_640x480_600_x264,2.65,3,3,2,3,4,4,3,2,3,2,2,2,3,2,3,2,2
Overwatch_30fps_30sec_v2_1280x720_1200_x264,2.71,3,2,3,3,2,3,2,3,2,3,4,2,1,2,4,3,4
Overwatch_30fps_30sec_v2_1280x720_2000_x264,3.88,3,4,4,4,4,5,5,3,4,3,4,3,3,3,4,5,5
Overwatch_30fps_30sec_v2_1280x720_4000_x264,4.41,4,5,5,4,5,5,4,3,5,4,4,4,4,5,4,5,5
Overwatch_30fps_30sec_v2_1280x720_500_x264,1.12,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2
Overwatch_30fps_30sec_v2_1280x720_600_x264,1.18,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
Overwatch_30fps_30sec_v2_1920x1080_1200_x264,1.35,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1
Overwatch_30fps_30sec_v2_1920x1080_2000_x264,2.59,2,3,2,3,2,2,3,3,3,3,2,3,2,2,2,3,4
Overwatch_30fps_30sec_v2_1920x1080_4000_x264,4.47,4,4,4,4,5,5,5,4,5,4,5,4,4,4,5,5,5
Overwatch_30fps_30sec_v2_1920x1080_600_x264,1.06,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
Overwatch_30fps_30sec_v2_1920x1080_750_x264,1.06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Overwatch_30fps_30sec_v2_640x480_1200_x264,3.53,4,4,4,3,5,4,4,2,4,3,4,4,3,2,3,4,3
Overwatch_30fps_30sec_v2_640x480_2000_x264,3.65,3,4,3,3,4,5,5,3,4,3,4,3,3,3,3,5,4
Overwatch_30fps_30sec_v2_640x480_300_x264,1.18,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Overwatch_30fps_30sec_v2_640x480_4000_x264,4.06,4,5,4,4,5,5,5,3,3,4,4,3,3,4,4,4,5
Overwatch_30fps_30sec_v2_640x480_600_x264,2.12,3,3,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2
